SearchBayesianSkopt: New best config found. Config 0: {'topK': 236, 'shrink': 448, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0875851, PRECISION: 0.0169676, PRECISION_RECALL_MIN_DEN: 0.0702604, RECALL: 0.0688286, MAP: 0.0292049, MRR: 0.0592590, NDCG: 0.0454810, F1: 0.0272239, HIT_RATE: 0.1696758, ARHR: 0.0641478, NOVELTY: 0.0049562, AVERAGE_POPULARITY: 0.0183679, DIVERSITY_MEAN_INTER_LIST: 0.9966678, DIVERSITY_HERFINDAHL: 0.9996474, COVERAGE_ITEM: 0.5168816, COVERAGE_ITEM_CORRECT: 0.0302599, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0937461, DIVERSITY_GINI: 0.2396234, SHANNON_ENTROPY: 12.8021041, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 236, 'shrink': 448, 'similarity': 'dice', 'normalize': False} - results:
CUTOFF: 10 - ROC_AUC: 0.0865931, PRECISION: 0.0187265, PRECISION_RECALL_MIN_DEN: 0.0635944, RECALL: 0.0612836, MAP: 0.0266539, MRR: 0.0596663, NDCG: 0.0423498, F1: 0.0286871, HIT_RATE: 0.1872652, ARHR: 0.0666160, NOVELTY: 0.0049575, AVERAGE_POPULARITY: 0.0183402, DIVERSITY_MEAN_INTER_LIST: 0.9966390, DIVERSITY_HERFINDAHL: 0.9996461, COVERAGE_ITEM: 0.5444851, COVERAGE_ITEM_CORRECT: 0.0352262, COVERAGE_USER: 0.7035359, COVERAGE_USER_CORRECT: 0.1045678, DIVERSITY_GINI: 0.2496608, SHANNON_ENTROPY: 12.8529624, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 236, 'shrink': 1442, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0871458, PRECISION: 0.0167734, PRECISION_RECALL_MIN_DEN: 0.0695243, RECALL: 0.0681138, MAP: 0.0289029, MRR: 0.0585410, NDCG: 0.0449892, F1: 0.0269181, HIT_RATE: 0.1677344, ARHR: 0.0633068, NOVELTY: 0.0049575, AVERAGE_POPULARITY: 0.0183417, DIVERSITY_MEAN_INTER_LIST: 0.9965955, DIVERSITY_HERFINDAHL: 0.9996402, COVERAGE_ITEM: 0.5156882, COVERAGE_ITEM_CORRECT: 0.0298749, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0931169, DIVERSITY_GINI: 0.2372172, SHANNON_ENTROPY: 12.7807613, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1313, 'shrink': 862, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0772729, PRECISION: 0.0149874, PRECISION_RECALL_MIN_DEN: 0.0623551, RECALL: 0.0611195, MAP: 0.0259989, MRR: 0.0518881, NDCG: 0.0403300, F1: 0.0240720, HIT_RATE: 0.1498738, ARHR: 0.0559847, NOVELTY: 0.0049782, AVERAGE_POPULARITY: 0.0183980, DIVERSITY_MEAN_INTER_LIST: 0.9955876, DIVERSITY_HERFINDAHL: 0.9995394, COVERAGE_ITEM: 0.4624062, COVERAGE_ITEM_CORRECT: 0.0266025, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0835535, DIVERSITY_GINI: 0.1927057, SHANNON_ENTROPY: 12.4466682, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 168, 'shrink': 572, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0878262, PRECISION: 0.0174529, PRECISION_RECALL_MIN_DEN: 0.0709551, RECALL: 0.0694459, MAP: 0.0298056, MRR: 0.0595745, NDCG: 0.0461667, F1: 0.0278953, HIT_RATE: 0.1745292, ARHR: 0.0648007, NOVELTY: 0.0049588, AVERAGE_POPULARITY: 0.0184819, DIVERSITY_MEAN_INTER_LIST: 0.9967877, DIVERSITY_HERFINDAHL: 0.9996594, COVERAGE_ITEM: 0.5291242, COVERAGE_ITEM_CORRECT: 0.0309913, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0957594, DIVERSITY_GINI: 0.2490472, SHANNON_ENTROPY: 12.8592105, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 168, 'shrink': 572, 'similarity': 'dice', 'normalize': False} - results:
CUTOFF: 10 - ROC_AUC: 0.0871850, PRECISION: 0.0188875, PRECISION_RECALL_MIN_DEN: 0.0644751, RECALL: 0.0621306, MAP: 0.0265102, MRR: 0.0599812, NDCG: 0.0425246, F1: 0.0289686, HIT_RATE: 0.1888750, ARHR: 0.0670438, NOVELTY: 0.0049607, AVERAGE_POPULARITY: 0.0184264, DIVERSITY_MEAN_INTER_LIST: 0.9967293, DIVERSITY_HERFINDAHL: 0.9996551, COVERAGE_ITEM: 0.5540327, COVERAGE_ITEM_CORRECT: 0.0355342, COVERAGE_USER: 0.7035359, COVERAGE_USER_CORRECT: 0.1049453, DIVERSITY_GINI: 0.2575739, SHANNON_ENTROPY: 12.8988443, 

SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1452, 'shrink': 1480, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0757021, PRECISION: 0.0147350, PRECISION_RECALL_MIN_DEN: 0.0613623, RECALL: 0.0601262, MAP: 0.0254744, MRR: 0.0509698, NDCG: 0.0395778, F1: 0.0236694, HIT_RATE: 0.1473500, ARHR: 0.0549735, NOVELTY: 0.0049798, AVERAGE_POPULARITY: 0.0184690, DIVERSITY_MEAN_INTER_LIST: 0.9953477, DIVERSITY_HERFINDAHL: 0.9995154, COVERAGE_ITEM: 0.4582868, COVERAGE_ITEM_CORRECT: 0.0261790, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0819177, DIVERSITY_GINI: 0.1893738, SHANNON_ENTROPY: 12.4096348, 
