SearchBayesianSkopt: New best config found. Config 0: {'topK': 602, 'shrink': 1217, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1438101527187219, 'tversky_beta': 1.1231954018014585} - results: ROC_AUC: 0.0815896, PRECISION: 0.0159387, PRECISION_RECALL_MIN_DEN: 0.0651342, RECALL: 0.0637252, MAP: 0.0276762, MRR: 0.0554131, NDCG: 0.0426106, F1: 0.0254995, HIT_RATE: 0.1593865, ARHR: 0.0599486, NOVELTY: 0.0049641, AVERAGE_POPULARITY: 0.0183915, DIVERSITY_MEAN_INTER_LIST: 0.9961212, DIVERSITY_HERFINDAHL: 0.9995928, COVERAGE_ITEM: 0.4816939, COVERAGE_ITEM_CORRECT: 0.0282579, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0874544, DIVERSITY_GINI: 0.2099879, SHANNON_ENTROPY: 12.5937256, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 602, 'shrink': 1217, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1438101527187219, 'tversky_beta': 1.1231954018014585} - results:
CUTOFF: 10 - ROC_AUC: 0.0850477, PRECISION: 0.0179932, PRECISION_RECALL_MIN_DEN: 0.0636574, RECALL: 0.0614539, MAP: 0.0262900, MRR: 0.0574206, NDCG: 0.0417871, F1: 0.0278362, HIT_RATE: 0.1799320, ARHR: 0.0638643, NOVELTY: 0.0049677, AVERAGE_POPULARITY: 0.0183627, DIVERSITY_MEAN_INTER_LIST: 0.9960812, DIVERSITY_HERFINDAHL: 0.9995903, COVERAGE_ITEM: 0.5093359, COVERAGE_ITEM_CORRECT: 0.0331858, COVERAGE_USER: 0.7035359, COVERAGE_USER_CORRECT: 0.1020511, DIVERSITY_GINI: 0.2195593, SHANNON_ENTROPY: 12.6455562, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 785, 'shrink': 1332, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.796259175626779, 'tversky_beta': 0.8014107642282506} - results: ROC_AUC: 0.0803604, PRECISION: 0.0153368, PRECISION_RECALL_MIN_DEN: 0.0630896, RECALL: 0.0617623, MAP: 0.0268686, MRR: 0.0537655, NDCG: 0.0413862, F1: 0.0245719, HIT_RATE: 0.1533683, ARHR: 0.0580201, NOVELTY: 0.0049677, AVERAGE_POPULARITY: 0.0183322, DIVERSITY_MEAN_INTER_LIST: 0.9959060, DIVERSITY_HERFINDAHL: 0.9995713, COVERAGE_ITEM: 0.4740712, COVERAGE_ITEM_CORRECT: 0.0273725, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0850635, DIVERSITY_GINI: 0.2027088, SHANNON_ENTROPY: 12.5334114, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 94, 'shrink': 1597, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6748761875237443, 'tversky_beta': 1.8038018365294695} - results: ROC_AUC: 0.0850719, PRECISION: 0.0172005, PRECISION_RECALL_MIN_DEN: 0.0695333, RECALL: 0.0681079, MAP: 0.0290136, MRR: 0.0577368, NDCG: 0.0451205, F1: 0.0274649, HIT_RATE: 0.1720054, ARHR: 0.0632234, NOVELTY: 0.0049481, AVERAGE_POPULARITY: 0.0185279, DIVERSITY_MEAN_INTER_LIST: 0.9969402, DIVERSITY_HERFINDAHL: 0.9996747, COVERAGE_ITEM: 0.5481039, COVERAGE_ITEM_CORRECT: 0.0310298, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0928652, DIVERSITY_GINI: 0.2627023, SHANNON_ENTROPY: 12.9382533, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 94, 'shrink': 1597, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6748761875237443, 'tversky_beta': 1.8038018365294695} - results:
CUTOFF: 10 - ROC_AUC: 0.0893200, PRECISION: 0.0188696, PRECISION_RECALL_MIN_DEN: 0.0643543, RECALL: 0.0619124, MAP: 0.0273539, MRR: 0.0609841, NDCG: 0.0431160, F1: 0.0289238, HIT_RATE: 0.1886961, ARHR: 0.0681736, NOVELTY: 0.0049519, AVERAGE_POPULARITY: 0.0185500, DIVERSITY_MEAN_INTER_LIST: 0.9968769, DIVERSITY_HERFINDAHL: 0.9996699, COVERAGE_ITEM: 0.5713956, COVERAGE_ITEM_CORRECT: 0.0359962, COVERAGE_USER: 0.7035359, COVERAGE_USER_CORRECT: 0.1048194, DIVERSITY_GINI: 0.2715339, SHANNON_ENTROPY: 12.9773893, 

SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 414, 'shrink': 811, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8823009148289154, 'tversky_beta': 1.899680049844889} - results: ROC_AUC: 0.0845593, PRECISION: 0.0161134, PRECISION_RECALL_MIN_DEN: 0.0672533, RECALL: 0.0659007, MAP: 0.0288507, MRR: 0.0581835, NDCG: 0.0442428, F1: 0.0258951, HIT_RATE: 0.1611338, ARHR: 0.0628122, NOVELTY: 0.0049648, AVERAGE_POPULARITY: 0.0183727, DIVERSITY_MEAN_INTER_LIST: 0.9964181, DIVERSITY_HERFINDAHL: 0.9996225, COVERAGE_ITEM: 0.4971319, COVERAGE_ITEM_CORRECT: 0.0286429, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0887127, DIVERSITY_GINI: 0.2235011, SHANNON_ENTROPY: 12.6948313, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 297, 'shrink': 1405, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3698434509931656, 'tversky_beta': 1.533559587113732} - results: ROC_AUC: 0.0834712, PRECISION: 0.0163269, PRECISION_RECALL_MIN_DEN: 0.0675183, RECALL: 0.0661248, MAP: 0.0282734, MRR: 0.0562142, NDCG: 0.0437955, F1: 0.0261878, HIT_RATE: 0.1632693, ARHR: 0.0607999, NOVELTY: 0.0049559, AVERAGE_POPULARITY: 0.0183541, DIVERSITY_MEAN_INTER_LIST: 0.9964908, DIVERSITY_HERFINDAHL: 0.9996297, COVERAGE_ITEM: 0.5061020, COVERAGE_ITEM_CORRECT: 0.0292204, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0899711, DIVERSITY_GINI: 0.2297219, SHANNON_ENTROPY: 12.7324954, 
