SearchBayesianSkopt: New best config found. Config 0: {'topK': 236, 'shrink': 448, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1228544, PRECISION: 0.0248495, PRECISION_RECALL_MIN_DEN: 0.0933659, RECALL: 0.0912320, MAP: 0.0417456, MRR: 0.0860834, NDCG: 0.0638661, F1: 0.0390600, HIT_RATE: 0.2484954, ARHR: 0.0969772, NOVELTY: 0.0046477, AVERAGE_POPULARITY: 0.1256616, DIVERSITY_MEAN_INTER_LIST: 0.9778901, DIVERSITY_HERFINDAHL: 0.9977700, COVERAGE_ITEM: 0.3403272, COVERAGE_ITEM_CORRECT: 0.0245236, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1263370, DIVERSITY_GINI: 0.0915736, SHANNON_ENTROPY: 10.7694089, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 236, 'shrink': 448, 'similarity': 'dice', 'normalize': False} - results:
CUTOFF: 10 - ROC_AUC: 0.1351250, PRECISION: 0.0272581, PRECISION_RECALL_MIN_DEN: 0.0887014, RECALL: 0.0855321, MAP: 0.0393845, MRR: 0.0965299, NDCG: 0.0627115, F1: 0.0413412, HIT_RATE: 0.2725809, ARHR: 0.1078312, NOVELTY: 0.0046574, AVERAGE_POPULARITY: 0.1239662, DIVERSITY_MEAN_INTER_LIST: 0.9783678, DIVERSITY_HERFINDAHL: 0.9978193, COVERAGE_ITEM: 0.3625409, COVERAGE_ITEM_CORRECT: 0.0267950, COVERAGE_USER: 0.7035359, COVERAGE_USER_CORRECT: 0.1511262, DIVERSITY_GINI: 0.0970847, SHANNON_ENTROPY: 10.8374203, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 236, 'shrink': 1442, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1203445, PRECISION: 0.0245195, PRECISION_RECALL_MIN_DEN: 0.0924344, RECALL: 0.0903060, MAP: 0.0412556, MRR: 0.0846176, NDCG: 0.0630884, F1: 0.0385674, HIT_RATE: 0.2451951, ARHR: 0.0951154, NOVELTY: 0.0046503, AVERAGE_POPULARITY: 0.1251133, DIVERSITY_MEAN_INTER_LIST: 0.9780941, DIVERSITY_HERFINDAHL: 0.9977904, COVERAGE_ITEM: 0.3412897, COVERAGE_ITEM_CORRECT: 0.0244466, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1245753, DIVERSITY_GINI: 0.0921453, SHANNON_ENTROPY: 10.7853380, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1313, 'shrink': 862, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1167755, PRECISION: 0.0231800, PRECISION_RECALL_MIN_DEN: 0.0883112, RECALL: 0.0862904, MAP: 0.0393069, MRR: 0.0806942, NDCG: 0.0601261, F1: 0.0365434, HIT_RATE: 0.2317997, ARHR: 0.0903281, NOVELTY: 0.0045213, AVERAGE_POPULARITY: 0.1610115, DIVERSITY_MEAN_INTER_LIST: 0.9614309, DIVERSITY_HERFINDAHL: 0.9961244, COVERAGE_ITEM: 0.3084119, COVERAGE_ITEM_CORRECT: 0.0212127, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1201711, DIVERSITY_GINI: 0.0723296, SHANNON_ENTROPY: 10.1590919, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 168, 'shrink': 572, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1197763, PRECISION: 0.0247719, PRECISION_RECALL_MIN_DEN: 0.0918571, RECALL: 0.0896695, MAP: 0.0408261, MRR: 0.0845598, NDCG: 0.0626908, F1: 0.0388196, HIT_RATE: 0.2477189, ARHR: 0.0952941, NOVELTY: 0.0047056, AVERAGE_POPULARITY: 0.1123562, DIVERSITY_MEAN_INTER_LIST: 0.9821713, DIVERSITY_HERFINDAHL: 0.9981981, COVERAGE_ITEM: 0.3572666, COVERAGE_ITEM_CORRECT: 0.0256400, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1253303, DIVERSITY_GINI: 0.1025642, SHANNON_ENTROPY: 11.0344065, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1452, 'shrink': 1480, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1153757, PRECISION: 0.0231411, PRECISION_RECALL_MIN_DEN: 0.0879994, RECALL: 0.0859681, MAP: 0.0389868, MRR: 0.0801868, NDCG: 0.0597725, F1: 0.0364662, HIT_RATE: 0.2314114, ARHR: 0.0897075, NOVELTY: 0.0045209, AVERAGE_POPULARITY: 0.1612082, DIVERSITY_MEAN_INTER_LIST: 0.9611506, DIVERSITY_HERFINDAHL: 0.9960964, COVERAGE_ITEM: 0.3079500, COVERAGE_ITEM_CORRECT: 0.0209432, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1197936, DIVERSITY_GINI: 0.0721365, SHANNON_ENTROPY: 10.1540723, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1940, 'shrink': 2424, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1153407, PRECISION: 0.0228305, PRECISION_RECALL_MIN_DEN: 0.0874562, RECALL: 0.0854743, MAP: 0.0387835, MRR: 0.0798598, NDCG: 0.0594439, F1: 0.0360357, HIT_RATE: 0.2283052, ARHR: 0.0890303, NOVELTY: 0.0045200, AVERAGE_POPULARITY: 0.1616114, DIVERSITY_MEAN_INTER_LIST: 0.9608111, DIVERSITY_HERFINDAHL: 0.9960625, COVERAGE_ITEM: 0.3075650, COVERAGE_ITEM_CORRECT: 0.0207507, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1192903, DIVERSITY_GINI: 0.0719590, SHANNON_ENTROPY: 10.1472650, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1196, 'shrink': 1445, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1161534, PRECISION: 0.0232382, PRECISION_RECALL_MIN_DEN: 0.0884538, RECALL: 0.0864160, MAP: 0.0393815, MRR: 0.0807498, NDCG: 0.0602234, F1: 0.0366270, HIT_RATE: 0.2323821, ARHR: 0.0903246, NOVELTY: 0.0045234, AVERAGE_POPULARITY: 0.1604288, DIVERSITY_MEAN_INTER_LIST: 0.9616288, DIVERSITY_HERFINDAHL: 0.9961442, COVERAGE_ITEM: 0.3084889, COVERAGE_ITEM_CORRECT: 0.0211357, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1202970, DIVERSITY_GINI: 0.0724469, SHANNON_ENTROPY: 10.1653641, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 1211, 'shrink': 53, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1209666, PRECISION: 0.0245389, PRECISION_RECALL_MIN_DEN: 0.0932466, RECALL: 0.0912336, MAP: 0.0426495, MRR: 0.0870638, NDCG: 0.0645106, F1: 0.0386754, HIT_RATE: 0.2453892, ARHR: 0.0978215, NOVELTY: 0.0045476, AVERAGE_POPULARITY: 0.1556558, DIVERSITY_MEAN_INTER_LIST: 0.9649954, DIVERSITY_HERFINDAHL: 0.9964808, COVERAGE_ITEM: 0.3185371, COVERAGE_ITEM_CORRECT: 0.0226372, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1248270, DIVERSITY_GINI: 0.0777038, SHANNON_ENTROPY: 10.2956367, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 1211, 'shrink': 53, 'similarity': 'dice', 'normalize': True} - results:
CUTOFF: 10 - ROC_AUC: 0.1337611, PRECISION: 0.0270792, PRECISION_RECALL_MIN_DEN: 0.0897672, RECALL: 0.0868039, MAP: 0.0392328, MRR: 0.0944741, NDCG: 0.0627410, F1: 0.0412806, HIT_RATE: 0.2707923, ARHR: 0.1054949, NOVELTY: 0.0045583, AVERAGE_POPULARITY: 0.1533625, DIVERSITY_MEAN_INTER_LIST: 0.9661077, DIVERSITY_HERFINDAHL: 0.9965935, COVERAGE_ITEM: 0.3384793, COVERAGE_ITEM_CORRECT: 0.0247546, COVERAGE_USER: 0.7035359, COVERAGE_USER_CORRECT: 0.1511262, DIVERSITY_GINI: 0.0821061, SHANNON_ENTROPY: 10.3694374, 

SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1845, 'shrink': 507, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1171399, PRECISION: 0.0233935, PRECISION_RECALL_MIN_DEN: 0.0888307, RECALL: 0.0867512, MAP: 0.0395149, MRR: 0.0812416, NDCG: 0.0604610, F1: 0.0368500, HIT_RATE: 0.2339352, ARHR: 0.0910645, NOVELTY: 0.0045203, AVERAGE_POPULARITY: 0.1613684, DIVERSITY_MEAN_INTER_LIST: 0.9613588, DIVERSITY_HERFINDAHL: 0.9961172, COVERAGE_ITEM: 0.3079500, COVERAGE_ITEM_CORRECT: 0.0212897, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1206745, DIVERSITY_GINI: 0.0722223, SHANNON_ENTROPY: 10.1576123, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 731, 'shrink': 744, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1185818, PRECISION: 0.0238594, PRECISION_RECALL_MIN_DEN: 0.0910235, RECALL: 0.0889435, MAP: 0.0399440, MRR: 0.0822011, NDCG: 0.0614421, F1: 0.0376257, HIT_RATE: 0.2385944, ARHR: 0.0920463, NOVELTY: 0.0045390, AVERAGE_POPULARITY: 0.1556640, DIVERSITY_MEAN_INTER_LIST: 0.9644680, DIVERSITY_HERFINDAHL: 0.9964281, COVERAGE_ITEM: 0.3133013, COVERAGE_ITEM_CORRECT: 0.0220982, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1231911, DIVERSITY_GINI: 0.0749183, SHANNON_ENTROPY: 10.2453219, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 599, 'shrink': 821, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1188101, PRECISION: 0.0239953, PRECISION_RECALL_MIN_DEN: 0.0908154, RECALL: 0.0887312, MAP: 0.0400954, MRR: 0.0826958, NDCG: 0.0615878, F1: 0.0377752, HIT_RATE: 0.2399534, ARHR: 0.0928265, NOVELTY: 0.0045505, AVERAGE_POPULARITY: 0.1524263, DIVERSITY_MEAN_INTER_LIST: 0.9662117, DIVERSITY_HERFINDAHL: 0.9966024, COVERAGE_ITEM: 0.3167276, COVERAGE_ITEM_CORRECT: 0.0224447, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1230653, DIVERSITY_GINI: 0.0767264, SHANNON_ENTROPY: 10.3033721, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1821, 'shrink': 2863, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1151802, PRECISION: 0.0227723, PRECISION_RECALL_MIN_DEN: 0.0873009, RECALL: 0.0853323, MAP: 0.0387668, MRR: 0.0798511, NDCG: 0.0593838, F1: 0.0359506, HIT_RATE: 0.2277228, ARHR: 0.0889967, NOVELTY: 0.0045202, AVERAGE_POPULARITY: 0.1615331, DIVERSITY_MEAN_INTER_LIST: 0.9608400, DIVERSITY_HERFINDAHL: 0.9960653, COVERAGE_ITEM: 0.3075265, COVERAGE_ITEM_CORRECT: 0.0206737, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1189128, DIVERSITY_GINI: 0.0719478, SHANNON_ENTROPY: 10.1476104, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 941, 'shrink': 1483, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1163682, PRECISION: 0.0233159, PRECISION_RECALL_MIN_DEN: 0.0888932, RECALL: 0.0868342, MAP: 0.0395538, MRR: 0.0812103, NDCG: 0.0604807, F1: 0.0367610, HIT_RATE: 0.2331586, ARHR: 0.0908441, NOVELTY: 0.0045294, AVERAGE_POPULARITY: 0.1587387, DIVERSITY_MEAN_INTER_LIST: 0.9626256, DIVERSITY_HERFINDAHL: 0.9962439, COVERAGE_ITEM: 0.3100674, COVERAGE_ITEM_CORRECT: 0.0214052, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1205486, DIVERSITY_GINI: 0.0732972, SHANNON_ENTROPY: 10.1942878, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1480, 'shrink': 2395, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1152879, PRECISION: 0.0228693, PRECISION_RECALL_MIN_DEN: 0.0875034, RECALL: 0.0855170, MAP: 0.0388428, MRR: 0.0799814, NDCG: 0.0595130, F1: 0.0360879, HIT_RATE: 0.2286935, ARHR: 0.0892518, NOVELTY: 0.0045210, AVERAGE_POPULARITY: 0.1612431, DIVERSITY_MEAN_INTER_LIST: 0.9610547, DIVERSITY_HERFINDAHL: 0.9960868, COVERAGE_ITEM: 0.3077960, COVERAGE_ITEM_CORRECT: 0.0208277, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1192903, DIVERSITY_GINI: 0.0720782, SHANNON_ENTROPY: 10.1524084, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 264, 'shrink': 1873, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1217929, PRECISION: 0.0245195, PRECISION_RECALL_MIN_DEN: 0.0929994, RECALL: 0.0908948, MAP: 0.0416670, MRR: 0.0855512, NDCG: 0.0635859, F1: 0.0386208, HIT_RATE: 0.2451951, ARHR: 0.0960814, NOVELTY: 0.0046355, AVERAGE_POPULARITY: 0.1291172, DIVERSITY_MEAN_INTER_LIST: 0.9767880, DIVERSITY_HERFINDAHL: 0.9976598, COVERAGE_ITEM: 0.3367469, COVERAGE_ITEM_CORRECT: 0.0241001, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1252045, DIVERSITY_GINI: 0.0895144, SHANNON_ENTROPY: 10.7174595, 
